postcode,avg_download,max_download,avg_upload,max_upload,lsoa_code,lsoa_name,district_code,district_name
CB75GJ,76,78,20,20,E01032526,West Suffolk 003D,E07000245,West Suffolk
CB75GL,77.5,79.9,20,20,E01032526,West Suffolk 003D,E07000245,West Suffolk
CB75SL,44.5,80,10.9,20,E01032526,West Suffolk 003D,E07000245,West Suffolk
CB75ZD,44,80,11,20,E01032526,West Suffolk 003D,E07000245,West Suffolk
CB80AA,57.3,200,7.5,20,E01034568,West Suffolk 008E,E07000245,West Suffolk
CB80AB,71.4,200,8.2,20,E01029955,West Suffolk 008C,E07000245,West Suffolk
CB80AD,65,200,7.6,20,E01029955,West Suffolk 008C,E07000245,West Suffolk
CB80AE,57.3,200,6.1,20,E01029955,West Suffolk 008C,E07000245,West Suffolk
CB80AF,86.6,200,7.4,20,E01029955,West Suffolk 008C,E07000245,West Suffolk
CB80AH,68.6,200,5.7,20,E01029953,West Suffolk 008B,E07000245,West Suffolk
CB80AL,41,80,11.3,20,E01029953,West Suffolk 008B,E07000245,West Suffolk
CB80AN,95.2,200,7.3,20,E01029953,West Suffolk 008B,E07000245,West Suffolk
CB80AP,50.8,79.9,13.2,20,E01029953,West Suffolk 008B,E07000245,West Suffolk
CB80AQ,51.9,200,5.9,20,E01029955,West Suffolk 008C,E07000245,West Suffolk
CB80AT,54.2,200,7.5,20,E01029952,West Suffolk 015E,E07000245,West Suffolk
CB80AW,45.1,150,5.4,20,E01029953,West Suffolk 008B,E07000245,West Suffolk
CB80AY,75.7,300,7.2,20,E01029952,West Suffolk 015E,E07000245,West Suffolk
CB80BB,27.7,67.4,5.5,18.2,E01034569,West Suffolk 008F,E07000245,West Suffolk
CB80BD,30.3,106.3,2.6,6,E01029953,West Suffolk 008B,E07000245,West Suffolk
CB80BE,87.1,200,8,20,E01029953,West Suffolk 008B,E07000245,West Suffolk
CB80BG,69.4,200,6.2,20,E01029955,West Suffolk 008C,E07000245,West Suffolk
CB80BH,55.7,200,6,16.3,E01029953,West Suffolk 008B,E07000245,West Suffolk
CB80BJ,66.4,200,6.4,19.8,E01029953,West Suffolk 008B,E07000245,West Suffolk
CB80BL,63,200,4.6,12,E01029953,West Suffolk 008B,E07000245,West Suffolk
