district_name,county,avg_price,avg_download,drug_rate_per_10k,avg_att8
Babergh,Suffolk,389599.977188656,29.8527289546716,8.802723541452345,42.28888888888889
Breckland,Norfolk,317536.2874091083,27.857429207763282,17.6402504497218,37.7
Broadland,Norfolk,336790.4024486572,39.45575317604356,8.36826336120264,45.24285714285714
East Suffolk,Suffolk,332405.2376237624,32.65043146365748,14.000445100855808,34.955
Great Yarmouth,Norfolk,221196.20485919382,44.770565675934805,30.762139521834108,42.766666666666666
Ipswich,Suffolk,250581.06607495068,59.034769348074725,25.837753263810637,38.166666666666664
Mid Suffolk,Suffolk,370863.1801354402,26.78486574450773,7.3776306455426814,42.27777777777778
North Norfolk,Norfolk,371415.61885453627,27.91575042158516,7.462831223710481,37.48
Norwich,Norfolk,275368.4770301624,59.42015296367113,34.14829327520075,33.371428571428574
South Norfolk,Norfolk,351993.71882261813,28.951129494113903,8.019856057411108,49.96
West Suffolk,Suffolk,347263.70930232556,34.226635021097046,19.908737906675732,33.99411764705882
