district_name,county,avg_price,avg_download,drug_rate_per_10k,avg_att8,score_affordability,score_broadband,score_safety,score_education,total_score
Ipswich,Suffolk,250581.06607495068,59.034769348074725,25.837753263810637,38.166666666666664,8.255094834914457,9.881911989004923,3.104346024735011,2.8906877942358458,6.488110007085897
Great Yarmouth,Norfolk,221196.20485919385,44.770565675934805,30.762139521834108,42.766666666666666,10,5.511120466212994,1.2648748371343146,5.66368124928235,6.26799498991853
Broadland,Norfolk,336790.4024486572,39.45575317604356,8.36826336120264,45.24285714285714,3.1358902481521067,3.882572672470766,9.629955847800913,7.156389941439888,5.511818086921207
South Norfolk,Norfolk,351993.71882261813,28.951129494113903,8.019856057411108,49.96,2.2331007106221854,0.663779587738436,9.760101040174877,10,4.966021461840281
Norwich,Norfolk,275368.4770301624,59.42015296367113,34.14829327520075,33.371428571428574,6.783191289504674,10,0,0,4.713276515801869
Mid Suffolk,Suffolk,370863.1801354402,26.78486574450773,7.3776306455426814,42.27777777777778,1.112611480968459,0,10,5.3689669690358635,3.7503896377427632
East Suffolk,Suffolk,332405.2376237624,32.65043146365748,14.000445100855808,34.955,3.3962861267144797,1.7973078281062285,7.526092444205697,0.9546159145711309,3.742691514544132
Breckland,Norfolk,317536.2874091083,27.85742920776328,17.6402504497218,37.7,4.279220636374081,0.32865145511136795,6.166467768784473,2.609369617636928,3.7104409304135637
North Norfolk,Norfolk,371415.61885453627,27.91575042158516,7.462831223710481,37.48,1.079807066230332,0.3465220543281674,9.968173900158373,2.4767481915260046,3.3647829411262604
Babergh,Suffolk,389599.977188656,29.8527289546716,8.802723541452345,42.28888888888889,0,0.9400448016778677,9.467666185322262,5.375665020859648,3.3612752597950863
West Suffolk,Suffolk,347263.70930232556,34.226635021097046,19.908737906675732,33.99411764705882,2.513973843976874,2.2802830649578345,5.319089618928455,0.3753723328807903,2.8477244052465487
