lsoa_code,lsoa_name,population,district_name
E01026419,Breckland 010A,1282,Breckland
E01026420,Breckland 010B,1360,Breckland
E01026421,Breckland 013A,1813,Breckland
E01026423,Breckland 011B,1812,Breckland
E01026424,Breckland 012A,2118,Breckland
E01026425,Breckland 005A,2036,Breckland
E01026426,Breckland 005B,2408,Breckland
E01026427,Breckland 005C,2458,Breckland
E01026428,Breckland 003A,2737,Breckland
E01026429,Breckland 003B,1453,Breckland
E01026430,Breckland 003C,2433,Breckland
E01026431,Breckland 003D,1156,Breckland
E01026432,Breckland 005D,1437,Breckland
E01026433,Breckland 005E,1353,Breckland
E01026434,Breckland 005F,1976,Breckland
E01026435,Breckland 013B,2158,Breckland
E01026436,Breckland 001A,2517,Breckland
E01026437,Breckland 008A,1256,Breckland
E01026438,Breckland 008B,1090,Breckland
E01026439,Breckland 014A,1953,Breckland
E01026440,Breckland 014B,1175,Breckland
E01026441,Breckland 014C,1608,Breckland
E01026442,Breckland 002A,2135,Breckland
E01026443,Breckland 002B,2190,Breckland
E01026444,Breckland 012B,2135,Breckland
E01026445,Breckland 002C,2533,Breckland
E01026446,Breckland 004A,2141,Breckland
E01026447,Breckland 011C,1776,Breckland
E01026448,Breckland 013C,2477,Breckland
E01026449,Breckland 011D,1945,Breckland
E01026450,Breckland 011E,1924,Breckland
E01026451,Breckland 008C,2495,Breckland
E01026452,Breckland 004B,1735,Breckland
E01026453,Breckland 004C,1601,Breckland
E01026454,Breckland 004D,1584,Breckland
E01026456,Breckland 007B,1459,Breckland
E01026457,Breckland 007C,1318,Breckland
E01026458,Breckland 007D,1756,Breckland
E01026459,Breckland 007E,1549,Breckland
E01026461,Breckland 001C,1624,Breckland
E01026462,Breckland 002D,2398,Breckland
E01026464,Breckland 010D,1311,Breckland
E01026465,Breckland 015A,1877,Breckland
E01026466,Breckland 015B,1835,Breckland
E01026467,Breckland 015C,2217,Breckland
E01026468,Breckland 016A,2419,Breckland
E01026469,Breckland 016B,1652,Breckland
E01026470,Breckland 016C,2871,Breckland
E01026471,Breckland 016D,1215,Breckland
E01026472,Breckland 016E,1217,Breckland
E01026473,Breckland 016F,1420,Breckland
E01026474,Breckland 017A,2067,Breckland
E01026475,Breckland 017B,1553,Breckland
E01026476,Breckland 017C,1491,Breckland
E01026477,Breckland 017D,1861,Breckland
E01026478,Breckland 017E,1667,Breckland
E01026479,Breckland 006A,1544,Breckland
E01026480,Breckland 006B,1593,Breckland
E01026481,Breckland 006C,1339,Breckland
E01026483,Breckland 001E,1172,Breckland
E01026484,Breckland 006D,1658,Breckland
E01026485,Breckland 006E,1226,Breckland
E01026486,Breckland 009A,2022,Breckland
E01026487,Breckland 009B,2299,Breckland
E01026488,Breckland 009C,1455,Breckland
E01026489,Breckland 009D,1486,Breckland
E01026490,Breckland 009E,1956,Breckland
E01026491,Breckland 010E,2293,Breckland
E01026492,Breckland 012C,1240,Breckland
E01026493,Breckland 012D,1489,Breckland
E01026494,Breckland 014D,2461,Breckland
E01026495,Breckland 008D,1453,Breckland
E01026496,Breckland 008E,1113,Breckland
E01033040,Breckland 010F,2418,Breckland
E01033041,Breckland 010G,1347,Breckland
E01033042,Breckland 001F,2414,Breckland
E01035133,Breckland 007F,1308,Breckland
E01035134,Breckland 007G,1605,Breckland
E01035135,Breckland 011F,1341,Breckland
E01035136,Breckland 011G,2153,Breckland
E01026497,Broadland 018A,1478,Broadland
E01026498,Broadland 018B,1362,Broadland
E01026499,Broadland 001A,1521,Broadland
E01026500,Broadland 001B,1624,Broadland
E01026501,Broadland 001C,1653,Broadland
E01026502,Broadland 001D,2094,Broadland
E01026503,Broadland 001E,2132,Broadland
E01026504,Broadland 014A,1531,Broadland
E01026505,Broadland 014B,2126,Broadland
E01026506,Broadland 014C,1442,Broadland
E01026507,Broadland 014D,1514,Broadland
E01026508,Broadland 017A,1409,Broadland
E01026509,Broadland 017B,1979,Broadland
E01026510,Broadland 017C,1732,Broadland
E01026511,Broadland 017D,1167,Broadland
E01026512,Broadland 014E,1265,Broadland
E01026513,Broadland 014F,1430,Broadland
E01026514,Broadland 003A,1529,Broadland
E01026515,Broadland 003B,1176,Broadland
E01026516,Broadland 003C,1227,Broadland
E01026517,Broadland 003D,1661,Broadland
E01026518,Broadland 007A,1279,Broadland
E01026519,Broadland 007B,1645,Broadland
E01026520,Broadland 007C,1085,Broadland
E01026521,Broadland 007D,1367,Broadland
E01026522,Broadland 002A,1426,Broadland
E01026523,Broadland 002B,1850,Broadland
E01026524,Broadland 002C,1476,Broadland
E01026525,Broadland 002D,1281,Broadland
E01026526,Broadland 010A,1379,Broadland
E01026527,Broadland 010B,1386,Broadland
E01026528,Broadland 010C,1345,Broadland
E01026529,Broadland 010D,1647,Broadland
E01026530,Broadland 011A,1885,Broadland
E01026531,Broadland 011B,1967,Broadland
E01026532,Broadland 011C,1745,Broadland
E01026533,Broadland 004A,1251,Broadland
