postcode,lsoa_code,lsoa_name,district_code,district_name
CB61EH,E01026679,King's Lynn and West Norfolk 018A,E07000146,King's Lynn and West Norfolk
CB61TY,E01026716,King's Lynn and West Norfolk 016E,E07000146,King's Lynn and West Norfolk
CB61TZ,E01026716,King's Lynn and West Norfolk 016E,E07000146,King's Lynn and West Norfolk
CB61UF,E01026716,King's Lynn and West Norfolk 016E,E07000146,King's Lynn and West Norfolk
CB61UG,E01026716,King's Lynn and West Norfolk 016E,E07000146,King's Lynn and West Norfolk
CB61UH,E01026716,King's Lynn and West Norfolk 016E,E07000146,King's Lynn and West Norfolk
CB75GJ,E01032526,West Suffolk 003D,E07000245,West Suffolk
CB75GL,E01032526,West Suffolk 003D,E07000245,West Suffolk
CB75SL,E01032526,West Suffolk 003D,E07000245,West Suffolk
CB75ZD,E01032526,West Suffolk 003D,E07000245,West Suffolk
CB80AA,E01034568,West Suffolk 008E,E07000245,West Suffolk
CB80AB,E01029955,West Suffolk 008C,E07000245,West Suffolk
CB80AD,E01029955,West Suffolk 008C,E07000245,West Suffolk
CB80AE,E01029955,West Suffolk 008C,E07000245,West Suffolk
CB80AF,E01029955,West Suffolk 008C,E07000245,West Suffolk
CB80AG,E01029955,West Suffolk 008C,E07000245,West Suffolk
CB80AH,E01029953,West Suffolk 008B,E07000245,West Suffolk
CB80AJ,E01029955,West Suffolk 008C,E07000245,West Suffolk
CB80AL,E01029953,West Suffolk 008B,E07000245,West Suffolk
CB80AN,E01029953,West Suffolk 008B,E07000245,West Suffolk
CB80AP,E01029953,West Suffolk 008B,E07000245,West Suffolk
CB80AQ,E01029955,West Suffolk 008C,E07000245,West Suffolk
CB80AR,E01029953,West Suffolk 008B,E07000245,West Suffolk
CB80AS,E01029953,West Suffolk 008B,E07000245,West Suffolk
CB80AT,E01029952,West Suffolk 015E,E07000245,West Suffolk
CB80AU,E01029951,West Suffolk 015D,E07000245,West Suffolk
CB80AW,E01029953,West Suffolk 008B,E07000245,West Suffolk
CB80AX,E01029952,West Suffolk 015E,E07000245,West Suffolk
CB80AY,E01029952,West Suffolk 015E,E07000245,West Suffolk
CB80AZ,E01029953,West Suffolk 008B,E07000245,West Suffolk
CB80BA,E01029925,West Suffolk 015A,E07000245,West Suffolk
CB80BB,E01034569,West Suffolk 008F,E07000245,West Suffolk
CB80BD,E01029953,West Suffolk 008B,E07000245,West Suffolk
CB80BE,E01029953,West Suffolk 008B,E07000245,West Suffolk
CB80BF,E01029953,West Suffolk 008B,E07000245,West Suffolk
CB80BG,E01029955,West Suffolk 008C,E07000245,West Suffolk
