urn,school_name,postcode,lea_code,county,academic_year,total_pupils,att8_score,district_name
138758,Acle Academy,NR133ER,926,Norfolk,2021-2022,523,47.9,Broadland
135066,Acorn Park School,NR162HU,926,Norfolk,2021-2022,94,7.1,Breckland
145089,Alderman Peel High School,NR231RB,926,Norfolk,2021-2022,559,41.7,North Norfolk
121250,All Saints School,NR120DJ,926,Norfolk,2021-2022,73,17.1,North Norfolk
146059,Archbishop Sancroft High School (A Church of England Academy),IP209DD,926,Norfolk,2021-2022,494,47.3,South Norfolk
140534,Attleborough Academy,NR172AJ,926,Norfolk,2021-2022,849,47.3,Breckland
121229,Aurora Eccles School,NR152NZ,926,Norfolk,2021-2022,153,4.3,South Norfolk
121164,Aylsham High School,NR116AN,926,Norfolk,2021-2022,1099,52.4,Broadland
146063,Broadland High Ormiston Academy,NR128QN,926,Norfolk,2021-2022,730,52.5,North Norfolk
141331,Caister Academy,NR305LS,926,Norfolk,2021-2022,698,46.4,Great Yarmouth
135904,City Academy Norwich,NR47LP,926,Norfolk,2021-2022,682,35.4,Norwich
141269,"City of Norwich School, An Ormiston Academy",NR46PP,926,Norfolk,2021-2022,1751,48.6,Norwich
140364,Cliff Park Ormiston Academy,NR316TA,926,Norfolk,2021-2022,829,38.4,Great Yarmouth
137431,Cromer Academy,NR270EX,926,Norfolk,2021-2022,670,52.4,North Norfolk
144316,Dereham Neatherd High School,NR203AX,926,Norfolk,2021-2022,1165,52.8,Breckland
137092,Diss High School,IP224DH,926,Norfolk,2021-2022,919,48.3,South Norfolk
145196,Downham Market Academy,PE389LL,926,Norfolk,2021-2022,1119,46.9,King's Lynn and West Norfolk
139572,Fakenham Academy,NR219QT,926,Norfolk,2021-2022,794,41.9,North Norfolk
145501,Flegg High Ormiston Academy,NR294QD,926,Norfolk,2021-2022,805,49.9,Great Yarmouth
145776,Framingham Earl High School,NR147QP,926,Norfolk,2021-2022,801,56.4,South Norfolk
135859,Future Education,NR58EG,926,Norfolk,2021-2022,34,4,Norwich
